Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date
SRPXQL54,GLOBAL FOOD & WINE (BRIS) - SOLAR W SGU - QLD,QLD,4012,0.190,Solar,1/11/2023,26/02/2024
SRPXQL58,Marsh Alliance Carole Park - Solar w SGU - QLD,QLD,4300,0.368,Solar,23/10/2023,26/02/2024
SRPXVCD3,Mildura Base Hospital 1 - Solar - VIC,VIC,3500,0.154,Solar,22/06/2023,26/02/2024
SRPXVCE2,Mildura Base Hospital 2 - Solar - VIC,VIC,3500,0.154,Solar,10/07/2023,26/02/2024
SRPVSAU6,Redmud Green Energy 124 - Solar - SA,SA,5341,0.677,Solar,9/11/2023,26/02/2024
SRPXVCE9,"Victor Cres, Narre Warren - Solar w SGU - VIC",VIC,3805,0.191,Solar,20/07/2023,26/02/2024
SRPVSAV3,Woolworths Millicent 5647 - Solar - SA,SA,5280,0.205,Solar,17/11/2023,26/02/2024
SRPVSAR7,Beerenberg Hybrid - Solar - SA,SA,5245,0.350,Solar,10/02/2023,29/02/2024
SRPVWAK0,Bluebird-Solar-WA,WA,6642,12.361,Solar,24/01/2024,29/02/2024
WD00WA26,FLATROCKS_WF1 - Wind Farm - WA,WA,6395,75.600,Wind,26/11/2023,29/02/2024
SRPVWAI3,Garden Well-Solar-WA,WA,6440,9.399,Solar,23/08/2023,29/02/2024
SRPXNSL1,"Lambridge Place, Penrith - Solar w SGU - NSW",NSW,2750,0.370,Solar,4/08/2023,29/02/2024
SRPXNSO7,SCG Tuggerah - Solar - NSW,NSW,2259,1.351,Solar,31/10/2023,29/02/2024
SRPXNSR4,Sylvan Australia - Solar w SGU � NSW,NSW,2753,0.181,Solar,21/12/2023,29/02/2024
SRPXQL83,Woolworths Bellmere 2015 - Solar - QLD,QLD,4510,0.232,Solar,21/12/2023,29/02/2024
SRPXQL76,AU001 Trade St Lytton Complex - Solar - QLD,QLD,4178,0.802,Solar,16/11/2023,5/03/2024
SRPXVCJ6,Bunnings Dandenong - Solar - VIC,VIC,3175,0.280,Solar,30/11/2023,5/03/2024
SRPXNSP5,Dubbo-Solar-NSW,NSW,2830,7.213,Solar,26/10/2023,5/03/2024
SRPXQL77,Energy Bay - Keppel Bay Plaza - Solar wSGU - QLD,QLD,4703,0.187,Solar,24/11/2023,5/03/2024
SRPXNS41,Oaks Hotel Goldsbrough - Solar  - NSW,NSW,2009,0.176,Solar,15/10/2021,5/03/2024
SRPXVC83,Phoenix Community College - Solar  - VIC,VIC,3356,0.200,Solar,12/04/2022,5/03/2024
SRPXQL82,Southern Steel Properties (77 Coulson St) - Solar w SGU - QLD,QLD,4076,0.300,Solar,20/12/2023,5/03/2024
SRPXVCK2,Woolworths Bayswater 3141 - Solar - VIC,VIC,3153,0.248,Solar,27/02/2024,5/03/2024
SRPXVCG7,Ingenia Solar PV Vic,VIC,3644,0.552,Solar,9/10/2023,6/03/2024
SRPVWAJ4,National Lintels - Solar - WA,WA,6165,0.225,Solar,16/11/2023,7/03/2024
SRPXNSP9,Tanilba Bay WWTW - Solar - NSW,NSW,2319,0.199,Solar,13/11/2023,7/03/2024
SRPVQLS9,Thargomindah Cooling Ponds - Solar w SGU - QLD,QLD,4492,0.239,Solar,7/09/2021,7/03/2024
SRPXVC86,South Gippsland Water - Lance Creek Plant - Solar - VIC,VIC,3979,0.680,Solar,20/06/2022,8/03/2024
SRPVWAK4,Australia Post: Perth PDC - Solar - WA,WA,6106,0.801,Solar,4/03/2024,22/03/2024
SRPXNSQ0,Australia Post: Sydney West Letters Facility (SWLF) - Solar - NSW,NSW,2135,0.861,Solar,14/11/2023,22/03/2024
SRPVTA23,Bell Bay Solar Project - Solar - TAS,TAS,7253,8.515,Solar,4/12/2023,22/03/2024
SRPVSAV5,Mannum 2 Solar Farm - Solar - SA,SA,5238,39.252,Solar,1/11/2023,22/03/2024
SRPXNSS6,Narrandera-Solar-NSW,NSW,2700,7.213,Solar,17/01/2024,22/03/2024
SRPXNSR8,SCHO006-Solar-NSW,NSW,2762,0.140,Solar,23/01/2024,22/03/2024
SRPXNSR9,SCHO007-Solar-NSW,NSW,2762,0.150,Solar,23/01/2024,22/03/2024
SRPXQL81,Smithfield Sapphire Feedlot - Solar w SGU - QLD,QLD,4390,0.348,Solar,8/12/2023,22/03/2024
SRPVSAU8,Yadlamalka - Solar - SA,SA,5540,6.009,Solar,24/10/2023,22/03/2024
SRPXNST6,MUR THAI FOOD CO PTY LTD - Solar w SGU - NSW,NSW,2566,0.197,Solar,15/02/2024,25/03/2024
SRPXVCI8,Australia Post: Dandenong Letters Centre (DLC) - Solar - VIC,VIC,3175,0.750,Solar,18/12/2023,26/03/2024
SRPVWAK3,Bigbell-Solar-WA,WA,6640,4.258,Solar,20/02/2024,26/03/2024
SRPXVCC8,"Cranbourne Rd, Frankston - Solar - VIC",VIC,3199,0.200,Solar,17/05/2023,26/03/2024
SRPXVCH3,Greentech 8 Solar Farm & BESS - Solar - VIC,VIC,3570,6.513,Solar,5/12/2023,26/03/2024
SRPXVCE8,Hardchrome Engineering - Solar - VIC,VIC,3810,0.700,Solar,10/07/2023,26/03/2024
SRPXVCG6,"Karingal Hub, Frankston - Solar - VIC",VIC,3199,0.510,Solar,28/09/2023,26/03/2024
SRPXQL32,Kelly Consolidated Rangeville - Solar w SGU - QLD,QLD,4350,0.244,Solar,10/08/2023,26/03/2024
SRPXNSO8,PEPE'S DUCKS WALKER ST - SOLAR w SGU - NSW,NSW,2756,0.469,Solar,16/10/2023,26/03/2024
SRPVWAI4,Pilgangoora-Solar-WA,WA,6760,5.988,Solar,14/09/2023,26/03/2024
SRPVSAV6,Redmud Green Energy 173 Pty Ltd - Solar - SA,SA,5554,6.357,Solar,4/12/2023,26/03/2024
SRPXQL53,Redwing (Ashmore) Pty Ltd - Solar w SGU - QLD,QLD,4217,0.253,Solar,4/10/2023,26/03/2024
